folder,sample_rate,channels,bit_depth,subtype,duration_sec,distance,height
20241115_122500,96000,8,32,PCM_32,40.0,10,20
20241115_122613,96000,8,32,PCM_32,40.0,10,20
20241115_122737,96000,8,32,PCM_32,40.0,10,10
20241115_122826,96000,8,32,PCM_32,40.0,10,10
20241115_122918,96000,8,32,PCM_32,40.0,10,10
20241115_123037,96000,8,32,PCM_32,40.0,10,10
20241115_123133,96000,8,32,PCM_32,40.0,10,20
20241115_123223,96000,8,32,PCM_32,40.0,10,20
20241115_123322,96000,8,32,PCM_32,40.0,10,20
20241115_123414,96000,8,32,PCM_32,40.0,10,20
20241115_123816,96000,8,32,PCM_32,40.0,10,10
20241115_123908,96000,8,32,PCM_32,40.0,10,10
20241115_123958,96000,8,32,PCM_32,40.0,10,10
20241115_124050,96000,8,32,PCM_32,40.0,10,10
20241115_124203,96000,8,32,PCM_32,40.0,10,20
20241115_124309,96000,8,32,PCM_32,40.0,10,20
20241115_124357,96000,8,32,PCM_32,40.0,10,20
20241115_124447,96000,8,32,PCM_32,40.0,10,20
20241115_124759,96000,8,32,PCM_32,60.0,,
